document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,Type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2021-07-27T08:04:18-05:00,DWC:lifeStage,http://rs.tdwg.org/dwc/iri/,3/27/15,7/15/21,,,,,Life Stage (IRI),The age class or life stage of the Organism(s) at the time the Occurrence was recorded.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:locationAccordingTo,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Location According To (IRI),"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:measurementDeterminedBy,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Measurement Determined By (IRI),"A person, group, or organization who determined the value of the MeasurementOrFact.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:measurementMethod,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Measurement Method (IRI),"The method or protocol used to determine the measurement, fact, characteristic, or assertion.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:measurementType,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Measurement Type (IRI),"The nature of the measurement, fact, characteristic, or assertion.",Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:measurementUnit,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Measurement Unit (IRI),The units associated with the measurementValue.,Recommended best practice is to use the International System of Units (SI).,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:occurrenceStatus,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Occurrence Status (IRI),A statement about the presence or absence of a Taxon at a Location.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:organismQuantityType,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Organism Quantity Type (IRI),The type of quantification system used for the quantity of organisms.,A dwc:organismQuantityType must have a corresponding dwc:organismQuantity.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:preparations,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Preparations (IRI),A preparation or preservation method for a specimen.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:recordNumber,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Record Number (IRI),"An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.",The subject is a dwc:Occurrence and the object is a (possibly IRI-identified) resource that is the field notes.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:reproductiveCondition,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Reproductive Condition (IRI),The reproductive condition of the biological individual(s) represented in the Occurrence.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:sampleSizeUnit,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Sampling Size Unit (IRI),"The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.","A sampleSizeUnit must have a corresponding sampleSizeValue. Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI.",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2021-07-27T08:04:18-05:00,DWC:samplingProtocol,http://rs.tdwg.org/dwc/iri/,3/27/15,7/15/21,,,,,Sampling Protocol (IRI),"The methods or protocols used during an Event, denoted by an IRI.","Recommended best practice is describe an Event with no more than one sampling protocol. In the case of a summary Event in which a specific protocol can not be attributed to specific Occurrences, the recommended best practice is to repeat the property for each IRI that denotes a different sampling protocol that applies to the Occurrence.",`https://doi.org/10.1111/j.1466-8238.2009.00467.x`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:sex,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Sex (IRI),The sex of the biological individual(s) represented in the Occurrence.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:typeStatus,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Type Status (IRI),"A nomenclatural type (type status, typified scientific name, publication) applied to the subject.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:verbatimCoordinateSystem,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Verbatim Coordinate System (IRI),The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,DWC:verbatimSRS,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Verbatim SRS (IRI),"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based.","Recommended best practice is to use an IRI for the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary IRI for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary IRI for the name or code of the ellipsoid, if known.",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2021-03-29T15:03:28-05:00,DWC:pathway,http://rs.tdwg.org/dwc/iri/,10/13/20,3/29/21,,,,,Pathway (IRI),The process by which an Organism came to be in a given place at a given time.,"Recommended best practice is to use IRIs from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/pw/. For details, refer to https://doi.org/10.3897/biss.3.38084 . Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.","`http://rs.tdwg.org/dwcpw/values/p002`, `http://rs.tdwg.org/dwcpw/values/p046`",owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2021-03-29T15:03:28-05:00,DWC:degreeOfEstablishment,http://rs.tdwg.org/dwc/iri/,10/13/20,3/29/21,,,,,Degree of Establishment (IRI),"The degree to which an Organism survives, reproduces, and expands its range at the given place and time.","Recommended best practice is to use IRIs from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084 . Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.","`http://rs.tdwg.org/dwcdoe/values/d003`, `http://rs.tdwg.org/dwcdoe/values/d005`",owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2021-07-27T08:04:18-05:00,DWC:measurementValue,http://rs.tdwg.org/dwc/iri/,7/15/21,7/15/21,,,,,Measurement Value (IRI),"The value of the measurement, fact, characteristic, or assertion.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,`http://vocab.nerc.ac.uk/collection/L22/current/TOOL0960/`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2021-07-27T08:04:18-05:00,DWC:verticalDatum,http://rs.tdwg.org/dwc/iri/,7/15/21,7/15/21,,,,,Vertical Datum (IRI),The vertical datum used as the reference upon which the values in the elevation terms are based.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
