document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,Type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2021-07-27T08:04:18-05:00,DWC:locality,http://rs.tdwg.org/dwc/terms/,2009-04-24,2021-07-15,,http://rs.tdwg.org/dwc/dwcore/Locality,,,Locality,The specific description of the place.,"Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.","`Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)`, `Queets Rainforest, Olympic National Park`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:locationAccordingTo,http://rs.tdwg.org/dwc/terms/,2009-08-24,2017-10-06,,,,,Location According To,"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.",,"`Getty Thesaurus of Geographic Names`, `GADM`",owl:ObjectProperty,not in ABCD,http://purl.org/dc/terms/Location,,simple
2017-09-23T06:53:00-05:00,DWC:locationAttributes,http://rs.tdwg.org/dwc/terms/,2009-04-24,2014-10-23,True,,,,Location Attributes,"A list (concatenated and separated) of additional measurements, facts, characteristics, or assertions about the location.","Example: ""aspectheading=277; slopeindegrees=6""",,owl:ObjectProperty,not in ABCD,http://purl.org/dc/terms/Location,,
2020-07-26T09:45:40-05:00,DWC:locationID,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/terms/SamplingLocationID,,,Location ID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,,`https://opencontext.org/subjects/768A875F-E205-4D0B-DE55-BAB7598D0FD1`,owl:ObjectProperty,not in ABCD,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:locationRemarks,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/terms/SamplingLocationRemarks,,,Location Remarks,Comments or notes about the Location.,,`under water since 2005`,owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/AreaDetail,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:lowestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LowestBiostratigraphicZone,,,Lowest Biostratigraphic Zone,The full name of the lowest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.,,`Maastrichtian`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,simple
2020-07-26T19:35:47-05:00,DWC:MachineObservation,http://rs.tdwg.org/dwc/terms/,2014-10-23,2018-09-06,,http://rs.tdwg.org/dwc/dwctype/MachineObservation,,,Machine Observation,An output of a machine observation process.,,A photograph. A video. An audio recording. A remote sensing image. A Occurrence record based on telemetry.,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/MachineObservation,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,extension
2020-07-26T19:35:47-05:00,DWC:MaterialSample,http://rs.tdwg.org/dwc/terms/,2013-03-28,2018-09-06,,http://rs.tdwg.org/dwc/dwctype/MaterialSample,,,Material Sample,"A physical result of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.",,A whole organism preserved in a collection. A part of an organism isolated for some purpose. A soil sample. A marine microbial sample.,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,extension
2020-10-28T21:39:50-04:00,DWC:materialSampleID,http://rs.tdwg.org/dwc/terms/,2013-05-25,2020-10-28,,http://gensc.org/ns/mixs/source_mat_id,,,Material Sample ID,"An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.","Recommended best practice is to use a persistent, globally unique identifier.",`06809dc5-f143-459a-be1a-6f03e63fc083`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/MaterialSample,,simple
2020-07-26T09:45:40-05:00,DWC:maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/MaximumDepthInMeters,,,Maximum Depth In Meters,"The greater depth of a range of depth below the local surface, in meters.",,"`0`, `200`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/UpperValue,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:maximumDistanceAboveSurfaceInMeters,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Maximum Distance Above Surface In Meters,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.",,"`-1.5` (below the surface). `4.2` (above the surface). For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/UpperValue,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/MaximumElevationInMeters,,,Maximum Elevation In Meters,"The upper limit of the range of elevation (altitude, usually above sea level), in meters.",,"`-205`, `1236`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/UpperValue,http://purl.org/dc/terms/Location,,simple
2020-07-26T19:35:47-05:00,DWC:measurementAccuracy,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,,Measurement Accuracy,The description of the potential error associated with the measurementValue.,,"`0.01`, `normal distribution with variation of 2 m`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Accuracy or DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Aspect/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Accuracy,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,,,Measurement Determined By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Rob Guralnick`, `Peter Desmet | Stijn Van Hoey`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/MeasuredBy,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,extension
2020-08-12T14:26:44-05:00,DWC:measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,2009-04-24,2020-08-12,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,,Measurement Determined Date,The date on which the MeasurementOrFact was made.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971). `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC). `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909). `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007).,owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasurementDateTime or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/MeasurementDateTime or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/MeasurementDateTime or DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/MeasurementDateTime or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/MeasurementDateTime or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/MeasurementDateTime,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:measurementID,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementID,http://rs.tdwg.org/dwc/terms/eventMeasurementID,,Measurement ID,"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.",,`9c752d22-b09a-11e8-96f8-529269fb1459`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:measurementMethod,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,,,,Measurement Method,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",,`minimum convex polygon around burrow entrances` (for a home range area). `barometric altimeter` (for an elevation).,owl:ObjectProperty,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Method or /DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/Method or /DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/Method,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:MeasurementOrFact,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/EventMeasurement,,,Measurement or Fact,A measurement of or fact about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to dwc:Occurrence, dwc:Organism, dwc:MaterialSample, dwc:Event, dwc:Location, dwc:GeologicalContext, dwc:Identification, or dwc:Taxon.",The weight of an organism in grams. The number of placental scars. Surface water temperature in Celsius.,http://www.w3.org/2000/01/rdf-schema#Class,Datasets/Dataset/Units/Unit/MeasurementsOrFacts or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,extension
2020-07-26T19:35:47-05:00,DWC:measurementRemarks,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementRemarks,http://rs.tdwg.org/dwc/terms/eventMeasurementRemarks,,Measurement Remarks,Comments or notes accompanying the MeasurementOrFact.,,`tip of tail missing`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:measurementType,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementType,http://rs.tdwg.org/dwc/terms/eventMeasurementType,,Measurement Type,"The nature of the measurement, fact, characteristic, or assertion.",Recommended best practice is to use a controlled vocabulary.,"`tail length`, `temperature`, `trap line length`, `survey area`, `trap type`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Parameter or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Parameter,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:measurementUnit,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementUnit,http://rs.tdwg.org/dwc/terms/eventMeasurementUnit,,Measurement Unit,The units associated with the measurementValue.,Recommended best practice is to use the International System of Units (SI).,"`mm`, `C`, `km`, `ha`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UnitOfMeasurement or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UnitOfMeasurement,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T19:35:47-05:00,DWC:measurementValue,http://rs.tdwg.org/dwc/terms/,2009-04-24,2018-09-06,,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementValue,http://rs.tdwg.org/dwc/terms/eventMeasurementValue,,Measurement Value,"The value of the measurement, fact, characteristic, or assertion.",,"`45`, `20`, `1`, `14.5`, `UV-light`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UpperValue or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/UpperValue or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/UpperValue or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/UpperValue or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/UpperValue or DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/UpperValue,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,extension
2020-07-26T09:45:40-05:00,DWC:member,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Member,,,Member,The full name of the lithostratigraphic member from which the cataloged item was collected.,,"`Lava Dam Member`, `Hellnmaria Member`",owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,simple
2020-07-26T09:45:40-05:00,DWC:minimumDepthInMeters,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/MinimumDepthInMeters,,,Minimum Depth In Meters,"The lesser depth of a range of depth below the local surface, in meters.",,"`0`, `100`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/LowerValue,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:minimumDistanceAboveSurfaceInMeters,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Minimum Distance Above Surface In Meters,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.",,"`-1.5` (below the surface). `4.2` (above the surface). For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/LowerValue,http://purl.org/dc/terms/Location,,simple
2020-07-26T09:45:40-05:00,DWC:minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/MinimumElevationInMeters,,,Minimum Elevation In Meters,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.",,"`-100`, `802`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/LowerValue,http://purl.org/dc/terms/Location,,simple
2020-08-12T14:26:44-05:00,DWC:month,http://rs.tdwg.org/dwc/terms/,2009-04-24,2020-08-12,,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected,,,Month,The integer month in which the Event occurred.,,`1` (January). `10` (October).,owl:ObjectProperty,accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin,http://rs.tdwg.org/dwc/terms/Event,,simple
2020-07-26T09:45:40-05:00,DWC:municipality,http://rs.tdwg.org/dwc/terms/,2009-08-24,2017-10-06,,,,,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName,http://purl.org/dc/terms/Location,,simple
2021-07-27T08:04:18-05:00,DWC:nameAccordingTo,http://rs.tdwg.org/dwc/terms/,2009-09-21,2021-07-15,,http://rs.tdwg.org/dwc/terms/taxonAccordingTo,,,Name According To,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","This term provides context to the `scientificName`. Together with the `scientificName`, separated by ‘sensu’ or ‘sec.’, it forms the taxon concept label, which may be seen as having the same relationship to `taxonConceptID` as, for example, `acceptedNameUsage` has to `acceptedNameUsageID`. When not provided, in Taxon Core data sets the `nameAccordingTo` can be taken to be the data set. In this case the data set mostly provides sufficient context to infer the delimitation of the taxon and its relationship with other taxa. In Occurrence Core data sets, when not provided, `nameAccordingTo` can be an underlying taxonomy of the data set, e.g. Plants of the World Online (http://powo.science.kew.org/) for vascular plant records in iNaturalist (in which case it should be provided), or, which is the case for most `PreservedSpecimen` data sets, the `Identification`, in which case there is no further context.","`Franz NM, Cardona-Duque J (2013) Description of two new species and phylogenetic reassessment of Perelleschus Wibmer & O’Brien, 1986 (Coleoptera: Curculionidae), with a complete taxonomic concept history of Perelleschus sec. Franz & Cardona-Duque, 2013. Syst Biodivers. 11: 209–236.` (as the full citation of the Franz & Cardona-Duque (2013) in Perelleschus splendida sec. Franz & Cardona-Duque (2013))",owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2020-07-26T09:45:40-05:00,DWC:nameAccordingToID,http://rs.tdwg.org/dwc/terms/,2009-09-21,2017-10-06,,,,,Name According To ID,An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo.,,`https://doi.org/10.1016/S0269-915X(97)80026-2`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2017-09-23T06:53:00-05:00,DWC:namePublicationID,http://rs.tdwg.org/dwc/terms/,2009-05-18,2009-09-21,True,,,,Name Publication ID,A resolvable globally unique identifier for the original publication of the scientificName.,"Example: ""http://hdl.handle.net/10199/7""",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2020-07-26T09:45:40-05:00,DWC:namePublishedIn,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Name Published In,A reference for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.,,"`Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388`, `Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/NomenclaturalReference/TitleCitation,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2020-08-12T14:26:44-05:00,DWC:namePublishedInID,http://rs.tdwg.org/dwc/terms/,2009-09-21,2020-08-12,,http://rs.tdwg.org/dwc/terms/namePublicationID,,,Name Published In ID,An identifier for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.,,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2020-07-26T09:45:40-05:00,DWC:namePublishedInYear,http://rs.tdwg.org/dwc/terms/,2011-10-16,2017-10-06,,,,,Name Published In Year,The four-digit year in which the scientificName was published.,,"`1915`, `2008`",owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2011-10-16_8,simple
2020-07-26T09:45:40-05:00,DWC:nomenclaturalCode,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/NomenclaturalCode,,,Nomenclatural Code,The nomenclatural code (or codes in the case of an ambiregnal name) under which the scientificName is constructed.,Recommended best practice is to use a controlled vocabulary.,"`ICN`, `ICZN`, `BC`, `ICNCP`, `BioCode`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/Code,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2020-07-26T09:45:40-05:00,DWC:nomenclaturalStatus,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Nomenclatural Status,The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code. It requires no taxonomic opinion.,,"`nom. ambig.`, `nom. illeg.`, `nom. subnud.`",owl:ObjectProperty,(DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/NomenclaturalReference/TitleCitation) pro parte,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2020-08-20T11:03:29-05:00,DWC:Occurrence,http://rs.tdwg.org/dwc/terms/,2009-04-29,2020-08-20,,http://rs.tdwg.org/dwc/terms/Sample,,,Occurrence,An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.,,A wolf pack on the shore of Kluane Lake in 1988. A virus in a plant leaf in the New York Botanical Garden at 15:29 on 2014-10-23. A fungus in Central Park in the summer of 1929.,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/decisions/decision-2014-10-26_15,extension
2017-09-23T06:53:00-05:00,DWC:occurrenceAttributes,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-10-09,True,http://rs.tdwg.org/dwc/dwcore/Attributes,,,Occurrence Attributes,"A list (concatenated and separated) of additional measurements, facts, characteristics, or assertions about the Occurrence.","Examples: ""Tragus length: 14mm; Weight: 120g"", ""Height: 1-1.5 meters tall; flowers yellow; uncommon"".",,owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts,http://rs.tdwg.org/dwc/terms/Occurrence,,
2017-09-23T06:53:00-05:00,DWC:occurrenceDetails,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-10-09,True,http://rs.tdwg.org/dwc/dwcore/RelatedInformation,,,Occurrence Details,"A reference (publication, URI) to the most detailed information available about the Occurrence.","Example: ""http://mvzarctos.berkeley.edu/guid/MVZ:Mamm:165861""",,owl:ObjectProperty,DataSets/DataSet/Units/Unit/RecordURI,http://rs.tdwg.org/dwc/terms/Occurrence,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2011-10-16_7,
2020-07-26T09:45:40-05:00,DWC:occurrenceID,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/GlobalUniqueIdentifier,,,Occurrence ID,"An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.","Recommended best practice is to use a persistent, globally unique identifier.","`http://arctos.database.museum/guid/MSB:Mamm:233627`, `000866d2-c177-4648-a200-ead4007051b9`, `urn:catalog:UWBM:Bird:89776`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/UnitGUID,http://rs.tdwg.org/dwc/terms/Occurrence,,simple
2017-09-23T06:53:00-05:00,DWC:OccurrenceMeasurement,http://rs.tdwg.org/dwc/terms/,2008-11-19,2009-10-09,True,,,,Occurrence Measurement,The category of information pertaining to measurements accociated with an occurrence.,,,http://www.w3.org/2000/01/rdf-schema#Class,Datasets/Dataset/Units/Unit/MeasurementsOrFacts,http://rs.tdwg.org/dwc/terms/Occurrence,,
2017-09-23T06:53:00-05:00,DWC:occurrenceMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-10-09,True,http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy,,,Occurrence Measurement Accuracy,The description of the error associated with the occurrenceAttributeValue.,"Example: ""0.01"", ""normal distribution with variation of 2 m""",,owl:ObjectProperty,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Accuracy,http://rs.tdwg.org/dwc/terms/OccurrenceMeasurement,,
